5
quiz1,A quale famiglia appartiene l’arancia?,"Rutaceae, come il cedro","Musaceae, come le banane","Cactaceae, come i cactus"
quiz2,Come si chiama l’impollinazione fatta dagli insetti?,Entomofila,Zoofila,Marzolina
quiz3,Qual è l’ordine giusto del ciclo vegetativo?,"Semina, germinazione, crescita e raccolta","Semina, rotazione, crescita e raccolta","Semina, maturazione, crescita e raccolta"
quiz4,Di che colore sono i boccioli del melo?,Rosa,Bianchi,Gialli
quiz5,Su quale albero si trovano insieme fiori e frutti?,Arancio,Pero,Banano
quiz6,Dove crescono gli agrumi?,Nei Paesi del Mar Mediterraneo,Nei Paesi del nord Europa,In Asia e in Africa
quiz7,Qual è il Paese europeo che produce e consuma più zucchine?,L’Italia,La Germania,Il Messico
quiz8,Perché è importante la Vitamina C?,Aiuta ad assorbire il Ferro,Fa bene agli occhi,Fa diventare rosse le arance
quiz9,"Perché bombi, osmie, farfalle, sirfidi sono così importanti?",Impollinano le piante insieme alle api,Difendono le insalate dalle lumache,Spostano i semi da un campo all’altro
quiz10,A quale famiglia appartiene la zucchina?,"Cucurbitaceae, come cetrioli, meloni e angurie",Musaceae come le banane,Rosaceae come mele e rose
quiz11,Cosa si raccoglie nelle lattughe da taglio?,Solo le foglie più esterne,Tutto il cespo,Solo le foglie più interne
quiz12,Quante porzioni di frutta e verdura bisogna mangiare ogni giorno per star bene?,5,3,10
quiz13,Quali alimenti ci sono nella punta della Piramide alimentare da mangiare solo in occasioni speciali?,Salumi e dolci,Latte e derivati,Frutta e verdura
quiz14,Quali fiori crescono su una pianta di zucchine?,Fiori maschili e femminili,Solo i fiori maschili,Solo i fiori femminili
quiz15,Qual è la parte più interna dell’arancia?,L’endocarpo con i semi,"L’albedo, bianco e spugnoso","Il flavedo, ricco di oli essenziali"
quiz16,"Cosa si può fare per proteggere il suolo da caldo, gelo, siccità e piogge forti?",Ricoprirlo con uno strato di paglia e cortecce,Potare gli alberi e lasciare i rami a terra,Annaffiare ogni giorno con tanta acqua
quiz17,Quali alimenti ci sono alla base della nuova piramide alimentare?,Frutta e verdura,Prosciutto e formaggio,Pasta e pane
quiz18,In quale stagione crescono di più le arance?,Estate,Primavera,Inverno
quiz19,Quando vanno raccolte le pere?,Quando sono ancora acerbe,Quando sono del tutto mature,Quando cadono nelle reti stese sotto gli alberi
quiz20,Cos’è l’innesto?,Una pratica antica per “unire” parti di due piante,Un’innovazione per coltivare le insalate senza terra,Un modo di potare gli alberi per produrre più frutta
